twitter_username,name,followers_count,user_tweet_count,created_at,id,query_tweet_count
katyperry,KATY PERRY,108789024,11460,2009-02-20T23:45:56.000Z,21447363,748786
justinbieber,Justin Bieber,114060688,31380,2009-03-28T16:41:22.000Z,27260086,4589799
taylorswift13,Taylor Swift,88903543,691,2008-12-06T10:10:54.000Z,17919972,4375820
rihanna,Rihanna,103256018,10587,2009-10-02T21:37:33.000Z,79293791,2893095
ladygaga,Lady Gaga,83801008,9645,2008-03-26T22:37:48.000Z,14230524,1546900
jtimberlake,Justin Timberlake,63361165,4340,2009-03-25T19:10:50.000Z,26565946,82168
TheEllenShow,Ellen DeGeneres,77815670,23246,2008-08-14T03:50:42.000Z,15846407,232088
britneyspears,Britney Spears,55628208,5720,2008-09-22T20:47:35.000Z,16409683,241865
Cristiano,Cristiano Ronaldo,95045098,3722,2010-06-14T19:09:20.000Z,155659213,1230561
KimKardashian,Kim Kardashian West,70403410,34870,2009-03-19T19:21:56.000Z,25365536,580082
shakira,Shakira,52608823,7617,2009-06-03T17:38:07.000Z,44409004,280232
selenagomez,Selena Gomez,65237877,5316,2009-03-09T00:16:45.000Z,23375688,3895578
JLo,jlo,45157547,17255,2009-10-27T16:24:51.000Z,85603854,281186
ArianaGrande,Ariana Grande,84504477,47014,2009-04-23T02:56:31.000Z,34507480,4395741
ddlovato,Demi Lovato,54556745,17795,2009-02-17T18:02:08.000Z,21111883,952132
jimmyfallon,jimmy fallon,51390543,13784,2008-07-18T19:46:50.000Z,15485441,256520
Oprah,Oprah Winfrey,43173917,13447,2009-01-23T15:18:34.000Z,19397785,550965
Pink,P!nk,31624138,8088,2009-04-04T01:16:34.000Z,28706024,121384
Drake,Drizzy,39305624,1785,2009-03-28T07:17:46.000Z,27195114,937289
Harry_Styles,Harry Styles.,37010333,5581,2010-08-22T14:19:06.000Z,181561712,6283104
onedirection,One Direction,31344275,9782,2010-10-29T19:05:25.000Z,209708391,352714
BillGates,Bill Gates,55777654,3668,2009-06-24T18:44:10.000Z,50393960,389418
KingJames,LeBron James,50258320,8106,2009-03-06T16:25:53.000Z,23083404,1779426
LilTunechi,Lil Wayne WEEZY F,34839211,2446,2010-02-22T05:29:44.000Z,116362700,194647
BrunoMars,Bruno Mars,43149080,4857,2009-12-29T13:07:04.000Z,100220864,621295
KAKA,Kaka,29311664,5275,2009-07-28T10:05:26.000Z,60865434,47982
Adele,Adele,26677972,323,2010-08-30T19:53:19.000Z,184910040,156916
NiallOfficial,Niall Horan,41358553,18043,2010-01-15T12:14:24.000Z,105119490,2726638
MileyCyrus,Miley Ray Cyrus,46394495,11870,2011-03-18T18:36:02.000Z,268414482,929806
aliciakeys,Alicia Keys,30011636,10021,2009-04-25T00:46:24.000Z,35094637,126848
KevinHart4real,Kevin Hart,36788243,40810,2009-03-07T02:02:31.000Z,23151437,71165
wizkhalifa,Wiz Khalifa,36314104,49010,2009-02-07T17:59:34.000Z,20322929,226886
pitbull,Pitbull,25204781,8409,2009-04-16T16:03:02.000Z,31927467,49480
Real_Liam_Payne,Liam,6660,0,2016-08-10T14:50:28.000Z,763387042772516864,8723
Louis_Tomlinson,Louis Tomlinson,35939242,7564,2009-10-22T08:58:11.000Z,84279963,11279933
NICKIMINAJ,Nicki Minaj,23009989,42367,2009-04-27T16:36:43.000Z,35787166,980488
neymarjr,Neymar Jr,54952453,42088,2010-06-22T20:59:27.000Z,158487331,2969023
Eminem,Marshall Mathers,22534633,1101,2009-03-05T16:33:48.000Z,22940219,552559
AvrilLavigne,Avril Lavigne,20689195,4234,2009-09-13T22:43:00.000Z,73992972,157955
